University,sub_topic,major_field,USNEWSmajor_ranking,qsmajor_ranking,thmajor_ranking,mean_school_world_reputation,mean_students_per_staff,mean_international_students,Technology_strategy,studentview_major,avgRating,numRatings,avgDifficulty,rating
11,4,5,1,28,8,6,8.071428571,23.571428571428573,0,4.363636363636363,1.2909090909090908,0.6818181818181818,1.1454545454545455,4.42
11,0,5,1,28,8,6,8.071428571,23.571428571428573,0,4.363636363636363,1.2909090909090908,0.6818181818181818,1.1454545454545455,4.168674698795181
11,9,5,1,28,8,6,8.071428571,23.571428571428573,0,4.363636363636363,1.2909090909090908,0.6818181818181818,1.1454545454545455,4.153846153846154
11,7,9,1,13,11,6,8.071428571,23.571428571428573,0,4.363636363636363,2.3368421052631576,2.210526315789474,2.026315789473684,3.8354430379746836
11,2,9,1,13,11,6,8.071428571,23.571428571428573,0,4.363636363636363,2.3368421052631576,2.210526315789474,2.026315789473684,5.0
11,5,9,1,13,11,6,8.071428571,23.571428571428573,0,4.363636363636363,2.3368421052631576,2.210526315789474,2.026315789473684,4.297297297297297
11,1,9,1,13,11,6,8.071428571,23.571428571428573,0,4.363636363636363,2.3368421052631576,2.210526315789474,2.026315789473684,4.5
11,0,9,1,13,11,6,8.071428571,23.571428571428573,0,4.363636363636363,2.3368421052631576,2.210526315789474,2.026315789473684,4.168674698795181
11,3,9,1,13,11,6,8.071428571,23.571428571428573,0,4.363636363636363,2.3368421052631576,2.210526315789474,2.026315789473684,3.909090909090909
11,8,9,1,13,11,6,8.071428571,23.571428571428573,0,4.363636363636363,2.3368421052631576,2.210526315789474,2.026315789473684,4.25
11,6,9,1,13,11,6,8.071428571,23.571428571428573,0,4.363636363636363,2.3368421052631576,2.210526315789474,2.026315789473684,4.363636363636363
11,4,9,1,13,11,6,8.071428571,23.571428571428573,0,4.363636363636363,2.3368421052631576,2.210526315789474,2.026315789473684,4.42
11,9,9,1,13,11,6,8.071428571,23.571428571428573,0,4.363636363636363,2.3368421052631576,2.210526315789474,2.026315789473684,4.153846153846154
11,7,13,1,21,9,6,8.071428571,23.571428571428573,0,4.363636363636363,2.817241379310345,3.0689655172413794,2.117241379310345,3.8354430379746836
11,2,13,1,21,9,6,8.071428571,23.571428571428573,0,4.363636363636363,2.817241379310345,3.0689655172413794,2.117241379310345,5.0
11,5,13,1,21,9,6,8.071428571,23.571428571428573,0,4.363636363636363,2.817241379310345,3.0689655172413794,2.117241379310345,4.297297297297297
11,1,13,1,21,9,6,8.071428571,23.571428571428573,0,4.363636363636363,2.817241379310345,3.0689655172413794,2.117241379310345,4.5
11,3,13,1,21,9,6,8.071428571,23.571428571428573,0,4.363636363636363,2.817241379310345,3.0689655172413794,2.117241379310345,3.909090909090909
11,8,13,1,21,9,6,8.071428571,23.571428571428573,0,4.363636363636363,2.817241379310345,3.0689655172413794,2.117241379310345,4.25
11,6,13,1,21,9,6,8.071428571,23.571428571428573,0,4.363636363636363,2.817241379310345,3.0689655172413794,2.117241379310345,4.363636363636363
11,4,13,1,21,9,6,8.071428571,23.571428571428573,0,4.363636363636363,2.817241379310345,3.0689655172413794,2.117241379310345,4.42
11,0,13,1,21,9,6,8.071428571,23.571428571428573,0,4.363636363636363,2.817241379310345,3.0689655172413794,2.117241379310345,4.168674698795181
11,9,13,1,21,9,6,8.071428571,23.571428571428573,0,4.363636363636363,2.817241379310345,3.0689655172413794,2.117241379310345,4.153846153846154
11,7,14,1,10,7,6,8.071428571,23.571428571428573,0,4.363636363636363,1.9000000000000001,2.9642857142857144,1.6642857142857144,3.8354430379746836
11,2,14,1,10,7,6,8.071428571,23.571428571428573,0,4.363636363636363,1.9000000000000001,2.9642857142857144,1.6642857142857144,5.0
11,5,14,1,10,7,6,8.071428571,23.571428571428573,0,4.363636363636363,1.9000000000000001,2.9642857142857144,1.6642857142857144,4.297297297297297
11,1,14,1,10,7,6,8.071428571,23.571428571428573,0,4.363636363636363,1.9000000000000001,2.9642857142857144,1.6642857142857144,4.5
11,3,14,1,10,7,6,8.071428571,23.571428571428573,0,4.363636363636363,1.9000000000000001,2.9642857142857144,1.6642857142857144,3.909090909090909
11,8,14,1,10,7,6,8.071428571,23.571428571428573,0,4.363636363636363,1.9000000000000001,2.9642857142857144,1.6642857142857144,4.25
11,6,14,1,10,7,6,8.071428571,23.571428571428573,0,4.363636363636363,1.9000000000000001,2.9642857142857144,1.6642857142857144,4.363636363636363
11,4,14,1,10,7,6,8.071428571,23.571428571428573,0,4.363636363636363,1.9000000000000001,2.9642857142857144,1.6642857142857144,4.42
11,0,14,1,10,7,6,8.071428571,23.571428571428573,0,4.363636363636363,1.9000000000000001,2.9642857142857144,1.6642857142857144,4.168674698795181
11,9,14,1,10,7,6,8.071428571,23.571428571428573,0,4.363636363636363,1.9000000000000001,2.9642857142857144,1.6642857142857144,4.153846153846154
11,7,18,1,126,7,6,8.071428571,23.571428571428573,0,4.363636363636363,3.75,5.7727272727272725,2.390909090909091,3.8354430379746836
11,2,18,1,126,7,6,8.071428571,23.571428571428573,0,4.363636363636363,3.75,5.7727272727272725,2.390909090909091,5.0
11,5,18,1,126,7,6,8.071428571,23.571428571428573,0,4.363636363636363,3.75,5.7727272727272725,2.390909090909091,4.297297297297297
11,1,18,1,126,7,6,8.071428571,23.571428571428573,0,4.363636363636363,3.75,5.7727272727272725,2.390909090909091,4.5
11,3,18,1,126,7,6,8.071428571,23.571428571428573,0,4.363636363636363,3.75,5.7727272727272725,2.390909090909091,3.909090909090909
11,8,18,1,126,7,6,8.071428571,23.571428571428573,0,4.363636363636363,3.75,5.7727272727272725,2.390909090909091,4.25
11,6,18,1,126,7,6,8.071428571,23.571428571428573,0,4.363636363636363,3.75,5.7727272727272725,2.390909090909091,4.363636363636363
